Permit Number,Permit Type,Permit Sub-Type,Address,Status,Project Type,Valuation,Parcel Number,Date Entered,Date Issued,Date Completed,Date Expired,Date Renewed,Class Code,Class Code Description,Class Code Section,Number of Units,Permit Type Code
14BLD-5430,,Building Combo,"1117 16TH ST
SANTA MONICA, CA 90403
(34.029242503000035, -118.48802036999996)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$12210.00,4281004030,12/30/2014,12/30/2014,,11/24/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
14BLD-5431,,Electrical,"1020 CHELSEA AVE
SANTA MONICA, CA 90403
(34.03694896400003, -118.48175887099995)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1000.00,4277020013,12/30/2014,12/30/2014,,08/29/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
14BLD-5443,,Sign,"1109 MONTANA AVE
SANTA MONICA, CA 90403
(34.030135802000075, -118.49779270399995)",Issued,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$975.00,4281023026,12/30/2014,12/30/2014,,06/28/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
14BLD-5447,,Building Combo,"2450 COLORADO AVE
SANTA MONICA, CA 90404
(34.02897747800006, -118.47320087399999)",Issued,SIGNIFICANT COMMERCIAL CONSTRUCTION,$131325.00,4268018049,12/30/2014,01/06/2015,,10/03/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
14BLD-5450,,Plumbing,"1702 MICHIGAN AVE
SANTA MONICA, CA 90404
(34.02095759700006, -118.47594099999998)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1500.00,4274013002,12/31/2014,12/31/2014,,07/16/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
14CBP0154,,Building Combo,"1504 BERKELEY ST
SANTA MONICA, CA 90210
",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$0.00,4267026036,02/26/2014,02/26/2014,,10/07/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Commercial
14CBP0327,,Building Combo,"1427 7TH ST
SANTA MONICA, CA 90401
(34.01809302400005, -118.49154980899999)",Issued,SIGNIFICANT COMMERCIAL CONSTRUCTION,$188325.00,4291021031,04/23/2014,05/05/2014,,07/07/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0004,,Building Combo,"1 PICO BLVD
SANTA MONICA, CA 90024
",Issued,SIGNIFICANT COMMERCIAL CONSTRUCTION,$130000.00,4290020042,01/02/2015,01/02/2015,,07/01/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0021,,Temporary Structure,"3021 AIRPORT AVE
SANTA MONICA, CA 90405
(34.01406180300006, -118.44980892299998)",Issued,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$22000.00,4272026902,01/05/2015,01/05/2015,,07/04/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0026,,Roofing,"1239 23RD ST
SANTA MONICA, CA 90404
(34.03254263800005, -118.47966978399995)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$4800.00,4276017038,01/05/2015,01/05/2015,,07/06/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0049,,Building Combo,"725 ARIZONA AVE
SANTA MONICA, CA 90401
(34.020322486000055, -118.49366175199998)",Issued,SIGNIFICANT COMMERCIAL CONSTRUCTION,$315675.00,4291007008,01/07/2015,01/08/2015,,12/01/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0065,,Plumbing,,Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$2200.00,4273023031,01/07/2015,01/07/2015,,07/20/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0067,,Sign,"702 ARIZONA AVE
SANTA MONICA, CA 90401
(34.020139576000076, -118.49379208399995)",Issued,NEW COMMERCIAL CONSTRUCTION,$2100.00,4291008023,01/07/2015,01/07/2015,,07/06/2015,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,0,Commercial
15BLD-0098,,Plumbing,"609 24TH ST
SANTA MONICA, CA 90402
(34.041863446000036, -118.48752027999996)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$8000.00,4278009020,01/12/2015,01/12/2015,,07/11/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0103,,Mechanical,"1507 16TH ST
SANTA MONICA, CA 90404
(34.024022667000054, -118.48195014999999)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1500.00,4282036023,01/12/2015,01/12/2015,,07/21/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0115,,Mechanical,"1120 ARIZONA AVE
SANTA MONICA, CA 90401
(34.023618216000045, -118.48950105199998)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1500.00,4282013023,01/12/2015,01/12/2015,,08/09/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
C04734,,Building Combo,"2730 SANTA MONICA BLVD
SANTA MONICA, CA 92626
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$1.00,4267020026,03/02/1995,01/01/1900,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,1,Commercial
D97-022,,Demolition,"2410 NEILSON WAY
SANTA MONICA, CA 90031
",PENDING,UNDEFINED,$0.00,4288016001,03/25/1997,01/01/1900,,01/01/1900,,645,Demolish One-family Buildings,Section VI - Demolitions,1,Commercial
D97-084,,Demolition,"635 ASHLAND AVE
SANTA MONICA, CA 90049
",PENDING,UNDEFINED,$0.00,4287018005,10/06/1997,01/01/1900,,01/01/1900,,649,Demolish All Other Than Dwellings,Section VI - Demolitions,0,Commercial
D97-094,,Demolition,"1700 WILSHIRE BLVD
SANTA MONICA, CA 90403
(34.02931740100007, -118.48571119699994)",PENDING,UNDEFINED,$0.00,4276011023,11/11/1997,01/01/1900,,01/01/1900,,649,Demolish All Other Than Dwellings,Section VI - Demolitions,0,Commercial
D98-055,,Demolition,"642 COPELAND CT
SANTA MONICA, CA 90405
(34.005165575000035, -118.47752423499998)",PENDING,UNDEFINED,$0.00,4287015007,04/29/1998,01/01/1900,,01/01/1900,,649,Demolish All Other Than Dwellings,Section VI - Demolitions,0,Commercial
D98-077,,Demolition,"911 7TH ST
SANTA MONICA, CA 90212
",PENDING,UNDEFINED,$0.00,4292002060,06/02/1998,01/01/1900,,01/01/1900,,645,Demolish One-family Buildings,Section VI - Demolitions,0,Commercial
D98-110,,Demolition,"1252 EUCLID ST
SANTA MONICA, CA 90404
(34.024868441000024, -118.48849856699997)",PENDING,UNDEFINED,$0.00,4282005048,08/06/1998,01/01/1900,,01/01/1900,,649,Demolish All Other Than Dwellings,Section VI - Demolitions,0,Commercial
D98-134,,Demolition,"2404 2ND ST
SANTA MONICA, CA 90405
(34.00437971800005, -118.48489999099996)",PENDING,UNDEFINED,$0.00,4288001002,09/02/1998,01/01/1900,,01/01/1900,,645,Demolish One-family Buildings,Section VI - Demolitions,1,Commercial
D98-142,,Demolition,"1447 2ND ST
SANTA MONICA, CA 90049
",PENDING,UNDEFINED,$0.00,4291016014,10/15/1998,01/01/1900,,01/01/1900,,649,Demolish All Other Than Dwellings,Section VI - Demolitions,0,Commercial
D99-024,,Demolition,"533 17TH ST
SANTA MONICA, CA 90024
",PENDING,UNDEFINED,$0.00,4279017017,04/06/1999,01/01/1900,,01/01/1900,,645,Demolish One-family Buildings,Section VI - Demolitions,0,Commercial
14BLD-0160,,Electrical,"1685 MAIN ST
SANTA MONICA, CA 90401
(34.01118533500005, -118.49179801799994)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$111.00,4290012902,12/01/2014,12/03/2014,,07/13/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,2,Commercial
15BLD-0069,,Building Combo,"641 ASHLAND AVE
SANTA MONICA, CA 90405
(34.003365710000026, -118.47559416299998)",Issued,SIGNIFICANT SINGLE FAMILY CONSTRUCTION,$77252.50,4287018009,01/07/2015,01/13/2015,,10/12/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0134,,Roofing,"1128 PRINCETON ST
SANTA MONICA, CA 90403
(34.03766798800007, -118.47763831099996)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$3750.00,4266016102,01/13/2015,01/13/2015,,07/21/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0136,,Mechanical,"720 NAVY ST
SANTA MONICA, CA 90405
(34.002145444000064, -118.47263510299996)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$6800.00,4287033008,01/13/2015,01/13/2015,,09/19/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0138,,Temporary Structure,"3100 AIRPORT AVE
SANTA MONICA, CA 90405
(34.01461712300005, -118.44864472899997)",Issued,NEW COMMERCIAL CONSTRUCTION,$5000.00,4272026902,01/14/2015,01/14/2015,,07/29/2015,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,0,Commercial
15BLD-0143,,Electrical,"1015 CALIFORNIA AVE
SANTA MONICA, CA 90403
(34.02544343000005, -118.49390852999994)",Issued,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$10000.00,4281026021,01/14/2015,01/14/2015,,11/02/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0146,,Building Combo,"1661 LINCOLN BLVD
SANTA MONICA, CA 90404
(34.01581961100004, -118.48701074799999)",Issued,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$0.00,4283003010,01/14/2015,12/03/2014,,07/20/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0152,,Building Combo,"825 16th
SANTA MONICA, CA 90401
(34.01760179300004, -118.49296772799994)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$35440.00,4290003024,01/14/2015,01/14/2015,,08/31/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
14CBP0072,,Building Combo,"321 19TH ST
SANTA MONICA, CA 90402
(34.04133339600003, -118.49697014299994)",Issued,UNDEFINED,$0.00,4279009016,01/30/2014,01/30/2014,,07/14/2015,,438,Residential Garages & Carports (Attached or Not),Section IV - Additions & Alterations,0,Commercial
15BLD-0157,,Temporary Structure,"200 SANTA MONICA PIER
SANTA MONICA, CA 90401
",Issued,NEW COMMERCIAL CONSTRUCTION,$25000.00,4290023902,01/15/2015,01/15/2015,,07/14/2015,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,0,Commercial
15BLD-0160,,Plumbing,"1249 LINCOLN BLVD
SANTA MONICA, CA 90401
(34.02108150200007, -118.49319905399994)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$2500.00,4282009013,01/15/2015,01/15/2015,,07/19/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0162,,Roofing,"1434 FRANKLIN ST
SANTA MONICA, CA 90404
(34.037088390000065, -118.46780819499998)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$8000.00,4267016016,01/15/2015,01/15/2015,,07/15/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0168,,Roofing,"301 ASHLAND
SANTA MONICA, CA 90405
(34.000804188000075, -118.47940591099996)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$14000.00,4289019019,01/15/2015,01/15/2015,,09/15/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
14BLD-5284,,Building Combo,"1134 EUCLID ST
SANTA MONICA, CA 90403
(34.02662797600004, -118.49057843599996)",Issued,SIGNIFICANT SINGLE FAMILY CONSTRUCTION,$56250.00,4281019007,12/17/2014,01/16/2015,,11/28/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0177,,Building Combo,"423 7TH ST
SANTA MONICA, CA 90402
(34.03065289600005, -118.506259839)",Issued,NEW COMMERCIAL CONSTRUCTION,$15000.00,4293005032,01/16/2015,01/16/2015,,11/28/2015,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,0,Residential
15BLD-0179,,Mechanical,"834 17TH ST
SANTA MONICA, CA 90210
",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$5000.00,4281001036,01/16/2015,01/16/2015,,07/15/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0180,,Building Combo,"1105 GEORGINA AVE
SANTA MONICA, CA 90402
(34.03595108800005, -118.50476993899997)",Issued,NEW COMMERCIAL CONSTRUCTION,$35000.00,4280007019,01/16/2015,01/16/2015,,07/20/2015,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,0,Residential
08CBP0972,,Building Combo,"703 KENSINGTON RD
SANTA MONICA, CA 90405
(34.00873534400006, -118.48012378299995)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$0.00,4289001011,10/16/2008,03/08/2013,,07/19/2015,07/17/2014,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Commercial
14BLD-5224,,,"1001 19TH ST
SANTA MONICA, CA 90403
(34.033213266000075, -118.48712965599998)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$500.00,4277025072,12/12/2014,12/12/2014,,06/10/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0133,,Building Combo,,Issued,SIGNIFICANT COMMERCIAL CONSTRUCTION,$350000.00,,01/13/2015,01/21/2015,,12/02/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0206,,Roofing,"264 21ST PL
SANTA MONICA, CA 90402
(34.043977883000025, -118.49517834499994)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$48000.00,4278026001,01/21/2015,01/21/2015,,09/27/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0210,,Photovoltaic,"1132 YALE ST
SANTA MONICA, CA 90403
(34.039008092000074, -118.47555844199996)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$7860.00,4266009047,01/21/2015,01/21/2015,,07/20/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0212,,Photovoltaic,"1337 HILL ST
SANTA MONICA, CA 90405
(34.00866505400006, -118.46932344599998)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$6500.00,4285010016,01/21/2015,01/21/2015,,08/19/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0221,,Plumbing,"1120 PEARL ST
SANTA MONICA, CA 90405
(34.011656378000055, -118.47600552799997)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$900.00,4284021022,01/21/2015,01/21/2015,,07/20/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
12CBP1060,,Building Combo,"446 21ST PL
SANTA MONICA, CA 90402
(34.04135874600007, -118.49214899599997)",Issued,NEW SINGLE FAMILY CONSTRUCTION,$562865.95,4278028006,11/16/2012,12/11/2012,,07/22/2015,,101,One-Family Houses Detached,Section I - Residential Housekeeping Buildings,0,Residential
15BLD-0071,,Building Combo,,Issued,UNDEFINED,$100000.00,4292005010,01/08/2015,01/22/2015,,11/18/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0173,,Building Combo,"1831 WILSHIRE BLVD
SANTA MONICA, CA 90403
(34.03013370900004, -118.48480145499997)",Issued,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$39000.00,4276009036,01/15/2015,01/15/2015,,11/08/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
14CBP0518,,Building Combo,"3011 LINDA LANE
SANTA MONICA, CA 90405
(34.00673498200007, -118.46721361799996)",Issued,NEW COMMERCIAL CONSTRUCTION,$0.00,4285032026,06/17/2014,06/20/2014,,06/20/2015,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,0,Commercial
15BLD-0256,,Building Combo,"1136 18TH ST
SANTA MONICA, CA 90403
(34.03039824200005, -118.48577802999995)",Issued,SIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1573747.54,4276010009,01/23/2015,01/23/2015,,07/22/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0278,,Plumbing,"2930 COLORADO AVE
SANTA MONICA, CA 90404
(34.03327779400007, -118.46790152999995)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$5500.00,4268002006,01/23/2015,01/23/2015,,07/22/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0258,,Electrical,"3018 4TH ST
SANTA MONICA, CA 90405
(34.00027394800003, -118.47784079699994)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$750.00,4287025007,01/23/2015,01/26/2015,,07/25/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0291,,Plumbing,"2209 22ND ST
SANTA MONICA, CA 90405
(34.019649757000025, -118.46676537999997)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1500.00,4273005011,01/26/2015,01/26/2015,,08/17/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
12CBP1141,,Building Combo,"226 GEORGINA AVE
SANTA MONICA, CA 90024
",Issued,NEW SINGLE FAMILY CONSTRUCTION,$612719.50,4293007006,12/18/2012,12/26/2012,,11/30/2015,,101,One-Family Houses Detached,Section I - Residential Housekeeping Buildings,0,Residential
15BLD-0209,,Building Combo,"801 SANTA MONICA BLVD
SANTA MONICA, CA 90272
",Issued,SIGNIFICANT COMMERCIAL CONSTRUCTION,$165000.00,4282010015,07/29/2014,01/27/2015,,10/04/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0325,,Mechanical,"1237 PRINCETON ST
SANTA MONICA, CA 90404
(34.03593265100005, -118.47552041699998)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$2500.00,4267006021,01/27/2015,01/27/2015,,07/26/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
14STP1238,,Electrical,"2721 WASHINGTON AVE
SANTA MONICA, CA 90403
(34.040023252000026, -118.47919734799996)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$0.00,4266014076,06/30/2014,06/30/2014,,07/23/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Commercial
15BLD-0302,,Building Combo,"1631 SANTA MONICA BLVD
SANTA MONICA, CA 90404
(34.026223525000034, -118.48309782199999)",Issued,SIGNIFICANT COMMERCIAL CONSTRUCTION,$700574.28,4282018011,01/27/2015,01/28/2015,,11/28/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
11CBP0779,,Building Combo,"972 PALISADES BEACH RD
SANTA MONICA, CA 91367
",Issued,SIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1056463.99,4292031020,08/03/2011,08/03/2011,,09/14/2015,07/02/2014,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Commercial
13CBP0907,,Building Combo,"2525 COLORADO AVE
SANTA MONICA, CA 00000
",Issued,SIGNIFICANT COMMERCIAL CONSTRUCTION,$2487825.00,4275017012,10/16/2013,10/28/2013,,07/28/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
14BLD-5355,,Electrical,"1721 22ND ST
SANTA MONICA, CA 90404
(34.02553761900003, -118.47278741299999)",Issued,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$20000.00,4275032805,12/23/2014,01/29/2015,,07/28/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0373,,Mechanical,"361 21ST ST
SANTA MONICA, CA 90402
(34.04188303500007, -118.49431989499999)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$8981.00,4278027023,01/29/2015,01/29/2015,,08/22/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0385,,Building Combo,"2222 6TH ST
SANTA MONICA, CA 90405
(34.00827904000005, -118.48303098999997)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$35000.00,4289008072,01/29/2015,01/29/2015,,07/28/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0293,,Building Combo,"1238 10TH ST
SANTA MONICA, CA 91011
",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1100.00,4282008063,01/26/2015,01/26/2015,,07/25/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0361,,Electrical,"1410 3RD STREET PROMENADE
SANTA MONICA, CA 90401
(34.015458258000024, -118.49593709299995)",Issued,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$8000.00,4291016003,01/28/2015,01/30/2015,,08/09/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0369,,Building Combo,"2951 28TH ST
SANTA MONICA, CA 60690
",Issued,SIGNIFICANT COMMERCIAL CONSTRUCTION,$1176000.00,4272031002,01/29/2015,01/30/2015,,11/29/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0389,,Demolition,"838 25TH ST
SANTA MONICA, CA 90403
(34.039777816000026, -118.48385832799994)",Issued,UNDEFINED,$30000.00,4277002006,01/30/2015,01/30/2015,,10/17/2015,,645,Demolish One-family Buildings,Section VI - Demolitions,0,Residential
15BLD-0393,,Sign,"1707 CLOVERFIELD BLVD
SANTA MONICA, CA 90404
(34.026687200000026, -118.47163094999996)",Issued,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$5500.00,4268014013,01/30/2015,01/30/2015,,11/30/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0399,,Plumbing,"1913 22ND ST
SANTA MONICA, CA 90404
(34.02310314600004, -118.46995950499996)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$850.00,4274022004,01/30/2015,01/30/2015,,08/04/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0400,,Plumbing,"1333 14TH ST
SANTA MONICA, CA 90404
(34.02470251300008, -118.48637952099995)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1500.00,4282016030,01/30/2015,01/30/2015,,08/17/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
14CBP0541,,Building Combo,"3401 EXPOSITION BLVD
SANTA MONICA, CA 90025
",Issued,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$0.00,4268013003,06/24/2014,06/24/2014,,07/28/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0022,,Roofing,"1037 18TH ST
SANTA MONICA, CA 90403
(34.032086322000055, -118.48768064599994)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$25000.00,4277026078,01/05/2015,01/05/2015,,09/19/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0409,,Electrical,"1137 11TH ST
SANTA MONICA, CA 90403
(34.025012477000075, -118.49228957399998)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$2000.00,4281020016,02/02/2015,02/02/2015,,08/01/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0411,,Seismic Retrofit SMMC 8.68,"711 PINE ST
SANTA MONICA, CA 90405
(34.007495488000075, -118.478912735)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$2200.00,4287001029,02/02/2015,02/02/2015,,08/25/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0419,,Building Combo,"1036 SAN VICENTE BLVD
SANTA MONICA, CA 90402
(34.03621150400005, -118.50594872299996)",Issued,NEW COMMERCIAL CONSTRUCTION,$12000.00,4280006001,02/02/2015,02/02/2015,,10/19/2015,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,0,Residential
10CBP0528,,Building Combo,"2916 10TH ST
SANTA MONICA, CA 90405
(34.00517825000003, -118.47208892199995)",Issued,SIGNIFICANT SINGLE FAMILY CONSTRUCTION,$315025.50,4285027033,05/25/2010,07/28/2014,,06/09/2015,01/23/2014,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Commercial
13CBP0826,,Building Combo,"3102 PICO BLVD
SANTA MONICA, CA 90069
",Issued,SIGNIFICANT COMMERCIAL CONSTRUCTION,$161503.00,4270007047,09/24/2013,09/24/2013,,08/02/2015,07/18/2014,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
15BLD-0401,,Sign,"2307 LINCOLN BLVD
SANTA MONICA, CA 90405
(34.009323007000035, -118.47924113499994)",Issued,NEW COMMERCIAL CONSTRUCTION,$1200.00,4284005019,01/30/2015,02/03/2015,,08/02/2015,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,0,Commercial
15BLD-0421,,Building Combo,"556 12TH ST
SANTA MONICA, CA 90402
(34.032478110000056, -118.49927816399997)",Issued,SIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1250128.20,4280018011,02/02/2015,02/03/2015,,12/01/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
15BLD-0425,,Building Combo,"2440 CHELSEA PL
SANTA MONICA, CA 90404
(34.03281803400006, -118.47646067899996)",Issued,UNDEFINED,$5000.00,4276022012,02/03/2015,02/03/2015,,08/02/2015,,438,Residential Garages & Carports (Attached or Not),Section IV - Additions & Alterations,0,Residential
15BLD-0444,,Roofing,"902 CENTINELA AVE
SANTA MONICA, CA 90403
(34.04548622000004, -118.47652405499997)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$13000.00,4266003061,02/03/2015,02/03/2015,,09/28/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Residential
