Type,Code,Code Section,Taxicab Rule Number,Violation Description,Penalty Schedule,City Penalty,Current State Fee,Fine/Penalty,Unit,Additional Cost,Late Penalty Charge,Comments,Notes
Administrative Citation Fine,SMMC,9.04.08.20.030,,Unapproved sidewalk café in C3C district,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.22.030,,Unapproved sidewalk café in C4 district,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.26.030,,Unapproved sidewalk café in C6 district,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.28.030,,Unapproved sidewalk café in CM district,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.30.030,,Unapproved sidewalk cafe in CP district ,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.02.080,,"Over Height Hedge wall or fence, Encroaching hedges",,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.02.090,,Hazardous Visual Obstructions,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.02.150,,Refuse and Recycling Storage Areas,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.02.270,,Outdoor Commercial Lighting Standards,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.02.280,,Glare Beyond Property,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.02.300,,"Humidity, Heat, and Cold Beyond Property",,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.02.310,,"Excessive Noise - Loudspeaker. Buzzer, Etc.",,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.02.320,,Storage in Required Front/Side Yard or Vacant Lot,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.02.330,,Commercial/Industrial Vibration,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.02.340,,Unpermitted Outdoor Uses,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.02.420,,Restaurant - Failure to Post Seating Capacity,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.08.050,,"Number of Bicycle, Vanpool, Carpool Spaces Required",,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.08.060,,Storage in Parking Space,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.08.120,,Marking of Parking Spaces,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.08.130,,Wheel Stops,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.08.220,,Maintain Use of Required Off-street Parking Space,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.10.10.030,,Maintain Existing Loading Space,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.040,,Auto Dealership - Parking and Vehicle Storage,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.040,,Auto Dealership - Failure to Control Noise ,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.040,,Auto Dealership - Vehicles Awaiting Repair in Street/Alley,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.040,,Auto Dealership - Test Driving on Unapproved Streets,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.040,,Auto Dealership - Loading And Unloading of Vehicles,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.040,,Auto Dealership - Hours of Operation Near Residential District,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.050,,Auto Rental -  Parking and Vehicle Storage,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.050,,Auto Rental - Failure to Control Noise,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.050,,Auto Rental - Loading and Unloading Vehicles,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.060,,Private Tennis Courts - Lighting,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.070,,Senior Group Housing - Lighting,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.090,,Game Arcades Bicycle Racks,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.12.150,,Outdoor Antique Markets,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.13.030,,Outdoor Newsstands - Zoning Regulations,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.040,,Service Station - Vehicle for Repair in Street/Alley,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.050,,Auto Repair - Open Door for Noise/Body& Fender,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.050,,Auto Repair - Outdoor Repair Work,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.050,,Auto Repair - Operating Hours,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.050,,Auto Repair -  Litter,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.050,,Auto Repair - Sound,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.050,,Auto Repair - Onsite Storage of Vehicles Awaiting Repair,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.050,,Auto Repair - Test Driving on Unapproved Streets,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.050,,Auto Repair - Vehicles Awaiting Repair,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.060,,Auto Dealership - Failure to Control Noise ,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.060,,Auto Dealership - Vehicles Awaiting Repair,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.060,,Auto Dealership - Test Driving on Unapproved Streets,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.060,,Auto Dealership - Loading And Unloading of Vehicles,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.070,,Automobile Rental - Failure to Control Noise,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.070,,Automobile Rental - Loading and Unloading Vehicles,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.080,,Neighborhood Grocery Store - Delivery Hours,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.090,,Restaurant - Drive - up or Drive - through Speaker System ,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.090,,Restaurant - Hours of Operation Near Residential,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.130,,Auto Wash - Vehicles in Public Way,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.14.130,,Auto Wash - Hours of Operation Near Residential,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.18.070,,Illegal Nonconforming Occupancy/Use,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.20.30.030,,Conditions of Approval for Permits/Approvals for Land Use,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.08.050,,Residential Building Record - Failure to Deliver to Buyer,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.16.080,,Requirements for Employers of Ten to Forty-Nine Employees,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.16.090,,Submission of Emission Reduction and Worksite Plans,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.16.130,,Enforcement of Employers with 10 or more Employees,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.52.200,,"Sign On Street, Alley or Public Place",,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.52.210,,Failure to Remove Prohibited Nonconforming Sign,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,T19,567,,Mount Fire Extinguisher within 75 Feet Travel Distance,,,,$125.00,,,,Title 19 of the California Code of Regulation (T19),
Administrative Citation Fine,T19,575.1,,Maintenance and Required Service Intervals for Fire Extinguishers,,,,$75.00,,,,Title 19 of the California Code of Regulation (T19),
Administrative Citation Fine,T19,904,,Service Fire Sprinkler / Standpipe System,,,,$500.00,,,,Title 19 of the California Code of Regulation (T19),
Administrative Citation Fine,T19,904,,Service Exhaust Hood and Duct Extinguishing System,,,,$500.00,,,,Title 19 of the California Code of Regulation (T19),
Administrative Citation Fine,SMMC,5.24.040,,Business is required to submit Hazardous Material Release Response Plan (Business Plan),,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.24.050,,Elements of Business Plan not met,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.24.060,,Copy of Business Plan not maintained at business location,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.24.080,,Failure to report hazardous material release and /or implement Business Plan,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.24.110,,Failure to provide amendments to Business Plan as designated,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.24.120,,Business fails to establish Risk Manage./Prevention Program,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.060(a)(3)(A),,Owner/Operator Agreement,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.060(a)(3)(C),,Change of Operator Notification,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.060(c),,Assumption of new ownership,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.170,,Maintenance of Financial Responsibility,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.240(a)(1),,Tank operation without permit,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.240(a)(2),,Failure to abide by requirements of permit,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.240(a)(3),,"Failure to permit inspection, perform monitoring, testing, rpting ",,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.240(a)(6),,Failure to properly close tank,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,CFC,105.1.1,,Permits(s) Required,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,105.3.5,,Posting Permit,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,105.6.16(5),,Permit (remove fuel by means other than dispensing),,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,105.6.16(7),,Permit (place temporarily out of service),,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,105.6.16(8),,Permit (change contents of tank),,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,105.6.34,,Permit Required to Operate a Place of Public Assembly,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,107.1,,Maintenance of safeguards,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,107.2,,Testing and operation of equipment,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,107.2.1,,Availability of test and inspection records to Fire Dept.,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,107.5,,Overcrowding - Exceed Maximum Occupant Load,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,109.1,,Unlawful Acts,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,109.3.2,,Compliance with Orders and Notices,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,109.3.4,,Removal/Destruction of Sign/Tag,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,110.1,,Unsafe Building,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,110.1.1,,Unsafe Conditions,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,110.2,,"Stopping Use, Evacuation",,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,111.1,,Stop Order,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,111.4,,Stop Order - Failure to Comply,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,113.3,,Work Commencing Before Permit Issuance,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,301.1,,Clothes Dryer Free of Lint,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,303.2,,Fire Protection for Asphalt Kettles,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,304.1,,Combustible Waste Material Accumulation Creating a Fire Hazard,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,304.1.2,,Combustible Vegetation,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,304.3,,Location of Rubbish Dumpsters,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,305.1,,Clearance from Ignition Sources,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,308.1,,Open/Illegal Burning,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,308.1.5,,Candles/Open flame Prohibited,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,308.1.8,,Improper Use of Flaming Food/Beverage,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,308.3.1,,Improper Use of Candle/Open Flame,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,310.3,,No Smoking Signs Posted and Enforced,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,311.1,,Maintain Vacant Building/Property,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,311.3,,Combustible/Hazardous Material in Vacant Building,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,315.3,,Store Combustible Storage in Orderly Manner,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,315.3,,Provide Clearance Of Heat Producing Appliances and Combustible Materials (keep area lint free),,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,315.3.1,,Required Ceiling Clearance,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,315.3.2,,Combustibles Stored in Exit,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,315.3.3,,Combustible Material in Elec/Mech/Boiler Room,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,315.3.4,,Storage Combustible Materials in Attic or Under floor,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,315.4,,Storage Combustible Materials Outside of Building,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,401.3,,Failure to Report Emergency,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,401.5,,Report False Alarm,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,404.2,,Egress Plan Posted,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,405.1,,Emergency Plans/Fire Drills,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,408.3,,Fire Drills Required (Educational Occupancy),,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,503.4,,Obstruct Fire Access Road/Lane,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,504.1,,Maintain Required Access to Building,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,504.2,,Maintain Exterior Doors/Openings,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,505.1,,Premises Identification Required,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,506,,Provide Knox Box,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,506.1,,Knox Key box/Switch Required,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,506.2,,Key Box Maintenance / Key Inventory,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,507.5.4,,Obstruction of Hydrant/Fire Protection Equipment,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,509.1,,Provide Identification Sign On Room/Door,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,509.1,,Identify sprinkler control valves and secure or lock in the open position,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,603.5.2,,Maintain Heating Equipment/Appliance,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,603.8.2,,Spark Arrestor Required,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,603.9,,Protect Gas Meters/Piping,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,604.2.3,,Failure to Provide Exit Signs with Emergency Power,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,604.2.4,,Failure to Maintain Exit Illumination,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,604.3,,Maintain Emergency Power Equipment,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,605.1,,Abate Electrical Hazard,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,605.3,,Obstruct Electrical Switchboard/Panel,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,605.3,,Access to Electrical Switchboard/Panel,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,605.3.1,,Label Electrical Room/Switchboard/Panel,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,605.4,,Provide Listed Power Tap With Over-current Protection,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,605.4.1,,Improper Use/Power Taps,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,605.5,,Extension Cords Prohibited,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,605.5,,Improper Use of Extension Cords,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,609.3.3,,"Hoods, Grease - Removal Devices, Fans, Ducts, Etc. shall be Cleaned at Req'd Intervals",,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,703.1,,Maintain Fire Resistive Construction,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,703.1,,Maintain Fire Assemblies/Doors,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,703.2,,Obstruction of Fire Assembly/Door,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,703.4,,Test Fire Doors,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,704.2,,Protection of Floor Openings,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,807.1,,Maintain Flame Resistant Treatment,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,901.6,,Maintain Fire Protection System/Appliance,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,901.7,,Fire Watch Required - Problematic Systems,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,901.8,,Tamper with Fire Department Equipment,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,901.8,,Tamper with Fire Hydrant/Appliance,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,901.8.1,,Tamper with Barriers/Locks/Signs/Seals,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,903.2,,Fire Sprinkler System Required,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,903.2.11.6,,Additional Fire Suppression System Required,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,   904.11,,Hood Fire Extinguishing System Required to Protect all Areas,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,904.11.5.2,,Provide a Type K Fire Extinguisher  ,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,904.11.6.2,,Kitchen Hood Extinguishing System Service,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,904.11.6,,"Clean Grease in Hood, Filter or Ducts",,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,906.1,,Provide Fire Extinguisher Based on Use/Hazard/Occupancy,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,906.3,,Fire Extinguisher Size and Distribution,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,906.6,,Post Signs Indicating Location of Fire Extinguisher ,,,,$75.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC, 907.2,,Fire Alarm System Required to be Installed and Maintained,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,907.2.8,,Install and Maintain Smoke Detectors (Existing R-1),,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,912.3,,"Maintain Access To and Operation of Standpipes, FDC and Sprinkler control valves",,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1004.3,,Post Occupant Load,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1008.1.8.3 (2.2),,Signage - Doors Unlocked During Business Hours,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1008.1.9.4,,Exit Door Locked/Secured with Non-approved Lock,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1008.1.10,,Panic Hardware Required,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1008.2,,Locks on Exit Gates,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1009.1,,Maintain Stairways and Handrails,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1009.10,,Maintain Stairways and Handrails,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1009.9.3,,Storage Under Stairways,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1017.1,,Aisles Required,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1017.1,,Obstruct Aisle or Exitway,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1018.1,,Maintain Corridor,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1028.12,,Bonding of Chairs Required,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1029.4,,Equip Bars/Grates On Sleeping Room With Approved Interior Release Devices,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1030.1,,Failure to Maintain Exit Doors,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1030.3,,Exit Obstructions,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1030.4,,Exit Sign illumination Required,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1030.7,,Obstruct/Maintain Emergency Escapes,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1104.16.4,,Obstruct/Maintain Fire Escape,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,1504.4,,Fire Protection System Required,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,2203.2,,Dust Collection Required,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,2404.2,,Spray - Finish Operations Prohibited,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,2404.4,,Fire Protection System Required for Spray Booths/Rooms,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,2703.1,,General/Hazardous Materials,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,2703.3,,Release of Hazardous Materials,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,2703.3.1.2,,Provide Approved Method to Control Unauthorized Spills,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,2703.9,,Testing frequency,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,3313.1,,Standpipe System Required During Construction,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CBC,3406,,Provide Fire Escape Certification,,,,$500.00,,,,California Building Code Standards (CBC),
Administrative Citation Fine,CFC,3504.1.1,,Hot Work - Clearance to Combustibles,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,3504.1.7,,Hot Work - Non Approved Location,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,3504.2.6,,Fire Protection Equipment for Hot Work,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,3505.2,,Storage of Welding Equipment,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5001.3.3,,Performance requirements of equipment/documentation,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5001.5.1,,Hazardous Material Management Plan,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5001.5.2,,Hazardous Materials Inventory Statement,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5001.6.1,,Permit/Monitoring requirements for out-of-service facilities,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.1,,General/Hazardous Materials,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.1.1,,Maximum Allowed Quantity Per Control Area,,,,$500.00,,,,California Fire Code (CFC),
